iter	Passed	Remaining
0	2	2461
1	4	2358
2	6	2295
3	9	2247
4	11	2227
5	13	2236
6	15	2219
7	17	2193
8	19	2152
9	21	2140
10	23	2120
11	25	2116
12	27	2104
13	29	2095
14	31	2092
15	34	2094
16	36	2087
17	38	2086
18	40	2092
19	42	2103
20	45	2119
21	47	2111
22	49	2116
23	51	2108
24	54	2117
25	56	2114
26	58	2105
27	60	2106
28	62	2101
29	64	2095
30	66	2086
31	68	2078
32	70	2073
33	72	2070
34	74	2064
35	77	2068
36	79	2065
37	81	2073
38	83	2067
39	85	2058
40	87	2051
41	89	2042
42	91	2037
43	93	2030
44	95	2024
45	97	2017
46	99	2015
47	101	2014
48	103	2011
49	105	2006
50	107	2005
51	109	2000
52	111	1997
53	113	1992
54	115	1990
55	117	1987
56	119	1983
57	121	1980
58	123	1977
59	126	1975
60	128	1974
61	130	1972
62	132	1971
63	134	1968
64	136	1965
65	138	1964
66	141	1965
67	143	1963
68	145	1961
69	147	1959
70	149	1957
71	151	1953
72	153	1950
73	155	1946
74	157	1943
75	159	1940
76	161	1937
77	164	1941
78	166	1941
79	168	1941
80	170	1939
81	173	1937
82	174	1923
83	176	1922
84	178	1920
85	180	1918
86	182	1917
87	184	1914
88	186	1912
89	188	1910
90	190	1907
91	193	1906
92	195	1904
93	197	1903
94	199	1900
95	201	1898
96	203	1896
97	206	1897
98	208	1895
99	210	1892
100	212	1892
101	215	1893
102	217	1892
103	219	1894
104	222	1893
105	224	1890
106	225	1886
107	228	1884
108	230	1880
109	232	1881
110	234	1879
111	237	1879
112	239	1876
113	241	1874
114	243	1872
115	245	1870
116	247	1864
117	249	1862
118	251	1860
119	253	1858
120	255	1856
121	257	1854
122	259	1852
123	262	1851
124	263	1847
125	265	1843
126	267	1836
127	269	1834
128	271	1830
129	273	1827
130	274	1823
131	277	1825
132	279	1822
133	282	1824
134	284	1823
135	287	1823
136	289	1822
137	291	1821
138	293	1817
139	295	1814
140	297	1813
141	298	1806
142	301	1804
143	303	1803
144	305	1800
145	307	1799
146	309	1797
147	312	1797
148	314	1796
149	316	1795
150	318	1793
151	321	1790
152	323	1788
153	324	1784
154	326	1782
155	329	1780
156	331	1777
157	333	1775
158	335	1773
159	337	1771
160	338	1764
161	340	1763
162	342	1761
163	344	1757
164	347	1759
165	350	1759
166	352	1758
167	354	1755
168	356	1753
169	358	1750
170	361	1751
171	363	1750
172	366	1750
173	368	1747
174	370	1745
175	372	1743
176	374	1742
177	376	1740
178	379	1738
179	380	1735
180	383	1733
181	384	1730
182	386	1727
183	389	1726
184	392	1727
185	394	1725
186	396	1725
187	398	1723
188	401	1721
189	403	1719
190	405	1717
191	407	1714
192	409	1711
193	411	1709
194	413	1707
195	415	1704
196	417	1701
197	419	1699
198	421	1697
199	423	1694
200	425	1692
201	427	1689
202	429	1686
203	431	1683
204	433	1679
205	435	1677
206	437	1675
207	439	1672
208	441	1670
209	443	1666
210	445	1664
211	447	1662
212	449	1660
213	451	1657
